Component,Dependency
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/backing-entities/BackingEntitiesWidgetParameters.svelte",
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityAverageCell.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityOverlayCell.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityTotalCell.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityOverlayCell.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityAverageCell.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityTotalCell.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/complexities/ComplexityWidgetParameters.svelte","common/svelte/entity-pickers/ComplexityKindPicker.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/target-costs/TargetAppCostOverlayCell.svelte",
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/target-costs/TargetAppCostWidgetParameters.svelte",
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramContextPanel.svelte","aggregate-overlay-diagram/components/instance-selector/DiagramInstanceSelector.svelte"
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramContextPanel.svelte","aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte"
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramInstanceContextPanel.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutList.svelte"
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramInstanceContextPanel.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramInstanceContextPanel.svelte","common/svelte/LastEdited.svelte"
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramInstanceContextPanel.svelte","common/svelte/DescriptionFade.svelte"
"aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramInstanceContextPanel.svelte","common/svelte/ImageDownloadLink.svelte"
"aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/WidgetSelector.svelte"
"aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/presets/CreatePresetPanel.svelte"
"aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/presets/PresetSelector.svelte"
"aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte","common/svelte/NoData.svelte"
"aggregate-overlay-diagram/components/context-panel/CustomiseOverlayPanel.svelte","aggregate-overlay-diagram/components/filter-selector/FilterPanel.svelte"
"aggregate-overlay-diagram/components/diagram-selector/DiagramSelector.svelte","common/svelte/LastEdited.svelte"
"aggregate-overlay-diagram/components/diagram-selector/DiagramSelector.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterList.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterList.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterPanel.svelte","aggregate-overlay-diagram/components/filter-selector/FilterSelectorPanel.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterPanel.svelte","aggregate-overlay-diagram/components/filter-selector/FilterList.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterPanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterSelectorPanel.svelte","common/svelte/AssessmentRatingPicker.svelte"
"aggregate-overlay-diagram/components/filter-selector/FilterSelectorPanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/instance-selector/DiagramInstanceSelector.svelte","common/svelte/LastEdited.svelte"
"aggregate-overlay-diagram/components/instance-selector/DiagramInstanceSelector.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/instance-selector/DiagramInstanceSelector.svelte","aggregate-overlay-diagram/components/instance-selector/InstanceCreatePanel.svelte"
"aggregate-overlay-diagram/components/instance-selector/InstanceCreatePanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/PageHeader.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/ViewLink.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/LastEdited.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/NoData.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/SearchInput.svelte"
"aggregate-overlay-diagram/components/list-view/OverlayDiagramListView.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/AggregateOverlayDiagram.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","aggregate-overlay-diagram/components/diagram-selector/DiagramSelector.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","common/svelte/NoData.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramContextPanel.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","common/svelte/ImageDownloadLink.svelte"
"aggregate-overlay-diagram/components/panel/AggregateOverlayDiagramPanel.svelte","common/svelte/DescriptionFade.svelte"
"applications/components/app-list-page-header/AppListPageHeader.svelte","common/svelte/ViewLink.svelte"
"applications/components/app-list-page-header/AppListPageHeader.svelte","common/svelte/PageHeader.svelte"
"applications/components/apps-view-grid/AppsViewGrid.svelte","common/svelte/SearchInput.svelte"
"applications/components/apps-view-grid/AppsViewGrid.svelte","common/svelte/DataExtractLink.svelte"
"applications/components/apps-view-grid/AppsViewGrid.svelte","common/svelte/NoData.svelte"
"applications/pages/edit/AppEdit.svelte","common/svelte/PageHeader.svelte"
"applications/pages/edit/AppEdit.svelte","common/svelte/ViewLink.svelte"
"applications/pages/edit/AppEdit.svelte","common/svelte/EntitySearchSelector.svelte"
"applications/pages/edit/AppEdit.svelte","common/svelte/EntityLink.svelte"
"assessments/components/bulk-assessment-rating-selector/BulkAssessmentRatingSelector.svelte","common/svelte/LoadingPlaceholder.svelte"
"assessments/components/bulk-assessment-rating-selector/BulkAssessmentRatingSelector.svelte","common/svelte/Icon.svelte"
"assessments/components/bulk-assessment-rating-selector/BulkAssessmentRatingSelector.svelte","common/svelte/Tooltip.svelte"
"assessments/components/bulk-assessment-rating-selector/BulkAssessmentRatingSelector.svelte","assessments/components/bulk-assessment-rating-selector/DataCellErrorTooltip.svelte"
"assessments/components/bulk-assessment-rating-selector/DataCellErrorTooltip.svelte",
"assessments/components/favourites-list/AssessmentFavouritesList.svelte","common/svelte/Icon.svelte"
"assessments/components/favourites-list/AssessmentFavouritesList.svelte","common/svelte/Tooltip.svelte"
"assessments/components/favourites-list/AssessmentFavouritesList.svelte","assessments/components/list/AssessmentRatingTooltipContent.svelte"
